问题 ID,说明,状态,严重性,故事点,项目路径,位置种类,路径,折线图,列,事件 ID,帮助链接,程序集名称,程序集版本,程序集公钥,片段
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,99,16,T:System.Windows.Forms.DockStyle,,,,,this.Dock = DockStyle.Top;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,99,16,T:System.Windows.Forms.DockStyle,,,,,this.Dock = DockStyle.Top;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,99,16,F:System.Windows.Forms.DockStyle.Top,,,,,this.Dock = DockStyle.Top;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,99,16,T:System.Windows.Forms.DockStyle,,,,,this.Dock = DockStyle.Top;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,99,16,P:System.Windows.Forms.Control.Dock,,,,,this.Dock = DockStyle.Top;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,98,16,T:System.Windows.Forms.Panel,,,,,"_bubblePanel.BackColor = Color.FromArgb(240, 240, 240);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,98,16,P:System.Windows.Forms.Control.BackColor,,,,,"_bubblePanel.BackColor = Color.FromArgb(240, 240, 240);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,97,16,T:System.Windows.Forms.Label,,,,,_lblSender.ForeColor = Color.Green;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,97,16,P:System.Windows.Forms.Control.ForeColor,,,,,_lblSender.ForeColor = Color.Green;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,93,16,T:System.Windows.Forms.DockStyle,,,,,this.Dock = DockStyle.Top;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,93,16,T:System.Windows.Forms.DockStyle,,,,,this.Dock = DockStyle.Top;
